21,8,
1,1,3,0,1
1,2,7,0,1
2,1,3,0,1
2,2,4,0,1
2,3,8,0,1
3,1,3,0,1
3,2,4,0,1
3,3,8,0,1
4,1,3,0,1
5,1,3,0,1
6,1,3,0,1
7,1,3,0,1
8,1,3,0,1
9,1,3,2,0
9,2,5,3,0
10,1,3,1,0
10,2,5,2,0
11,1,3,1,0
11,2,5,1,0
11,3,7,0,1
12,1,2,0,1
12,2,7,0,1
13,1,2,0,1
13,2,7,0,1
14,1,2,0,1
14,2,6,0,1
14,3,7,0,1
15,1,1,1,0
15,2,3,1,0
15,3,4,1,0
15,4,7,0,1
16,1,1,1,0
16,2,3,1,0
16,3,4,1,0
16,4,7,0,1
17,1,1,0,1
17,2,3,1,0
17,3,4,1,0
17,4,7,0,1
18,1,1,1,0
18,2,3,1,0
18,3,4,1,0
18,4,8,1,0
19,1,1,1,0
19,2,3,1,0
19,3,4,1,0
19,4,8,1,0
20,1,1,0,1
20,2,4,0,1
20,3,5,0,1
20,4,6,0,1
20,5,7,0,1
21,1,1,0,1
21,2,4,0,1
21,3,5,0,1
21,4,6,0,1
21,5,7,0,1
